folder,start_frame,end_frame,label,commentary,username,source_file,duration_sec
2021.07.16.16.27.22_veh-26_05058_05383,667,969,make the left turn when the light turns green,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,30.2
2021.07.16.18.19.22_veh-35_00023_00234,11,1031,make a left turn at the intersection that has arco on it,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,102.0
2021.06.23.20.00.35_veh-35_00130_00949,1133,1935,"once the white taxi pulls forward, go onto the main road and head toward the exit. you will head toward the direction of the madame tussauds las vegas",Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,80.2
2021.07.16.20.45.29_veh-35_02509_02649,359,513,proceed forward after the stopsign,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,15.4
2021.05.12.22.00.38_veh-35_01008_01518,406,2375,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,196.9
2021.06.09.14.50.36_veh-26_01537_01600,43,268,complete the right turn then switch into the left lane,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,22.5
2021.07.09.17.06.37_veh-35_05026_05593,1882,2208,switch to the right lane after passing the intersection,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,32.6
2021.09.15.14.27.22_veh-39_00665_00745,29,394,make a left turn at the stopsign and go straight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,36.5
2021.06.14.13.28.41_veh-12_04090_04289,221,883,"make a left turn when the light turns green. after the turn, switch into the right lane.",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,66.2
2021.10.11.02.57.41_veh-50_02155_02265,8,537,make a right turn and proceed straight,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,52.9
2021.08.17.14.32.33_veh-08_01262_01528,61,1094,make the first turn thats after the end of the road. at the end of the road you will make a left turn,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,103.3
2021.07.09.20.26.06_veh-35_03314_03877,1357,1851,go into the left lane behind the silver vehicle,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,49.4
2021.06.14.18.33.41_veh-35_04446_04756,199,1517,you will make the right turn into paris las vegas and go around the roundabout,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,131.8
2021.06.23.17.31.36_veh-16_02150_02774,1347,2228,pass two stoplights then head to the right lane.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,88.1
2021.06.09.14.58.55_veh-35_05655_05745,141,387,complete the turn. switch into the left lane. go around the parked vehicle,Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,24.6
2021.10.06.19.27.33_veh-28_00302_00794,1233,2009,make a right turn when the light turns green. do the same at the next stoplight.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,77.6
2021.08.17.19.18.39_veh-08_00407_00595,202,379,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,17.7
2021.06.14.20.14.09_veh-26_00488_00601,22,504,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,48.2
2021.06.23.21.56.29_veh-35_01603_02401,49,2493,go into veer towers east then head toward the exit to make a left turn.,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,244.4
2021.07.16.22.40.23_veh-38_00371_00797,633,2065,switch to the right lane after passing veer towers east. you need to enter into paris las vegas. make the right turn only once all pedestrians ahve crossed,Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,143.2
2021.06.23.17.31.36_veh-16_01443_01606,28,628,"temporarily park behind the vehicle that unloading. after a few seconds, go back onto the main road and make a left turn at the exit stoplight.",Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,60.0
2021.10.06.14.31.13_veh-28_00589_00665,13,349,make a left turn when the light turns green. make a right turn at the next stoplight,Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,33.6
2021.10.01.18.26.05_veh-28_00005_00413,22,2015,"make the right turn at the stopsign when there are no cars coming from the left. once you pass the graphic arts building, you will make a right turn at the next stoplight. then the same at the second stoplight you see, heading toward the evelyn bridge. at the intersection with the envoy hotel make a right turn. at the sotpsign you will make a left turn, heading toward the residence inn marriott",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,199.3
2021.06.09.11.54.15_veh-12_01705_01845,30,506,complete the left turn then switch into the right lane,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,47.6
2021.07.09.20.26.06_veh-35_03898_05974,1390,1759,,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,36.9
2021.06.09.17.23.18_veh-38_05602_05695,2,414,"before making the right turn into paris las vegas, let the people cross the road first",Both,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,41.2
2021.06.09.12.39.51_veh-26_00609_01168,161,2409,"head toward the luxor las vegas. youre going to make the right turn at the intersection thats between the luxor las vegas and exalibur hotel and casino. once you make the left turn into luxor las vegas, exit out and get back on the road, be on the second to left turning lane",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,224.8
2021.06.09.20.26.11_veh-35_00825_00942,61,499,"head toward the exit, you will make the left turn when the light turns green",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,43.8
2021.09.15.16.17.26_veh-28_01370_01439,26,331,"at the stopsign, make a right turn and proceed straight",Static Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,30.5
2021.09.15.14.50.05_veh-28_00083_00152,8,252,at the next intersection make a left turn,Non-Referential,parthib,./staging/parthib_submissions6 - Parthib Roy.csv,24.4
